21:21:31: Edge Data
21:21:31: ---------
21:21:31: Triangle 0 = {indexSet=0, vertexSet=0, v0=0, v1=1, v2=2}
21:21:31: Triangle 1 = {indexSet=0, vertexSet=0, v0=1, v1=0, v2=2}
21:21:31: Triangle 2 = {indexSet=0, vertexSet=0, v0=3, v1=4, v2=5}
21:21:31: Triangle 3 = {indexSet=0, vertexSet=0, v0=6, v1=7, v2=8}
21:21:31: Triangle 4 = {indexSet=0, vertexSet=0, v0=7, v1=9, v2=10}
21:21:31: Triangle 5 = {indexSet=0, vertexSet=0, v0=11, v1=12, v2=1}
21:21:31: Triangle 6 = {indexSet=0, vertexSet=0, v0=4, v1=13, v2=8}
21:21:31: Triangle 7 = {indexSet=0, vertexSet=0, v0=4, v1=3, v2=13}
21:21:31: Triangle 8 = {indexSet=0, vertexSet=0, v0=7, v1=6, v2=9}
21:21:31: Triangle 9 = {indexSet=0, vertexSet=0, v0=10, v1=9, v2=14}
21:21:31: Triangle 10 = {indexSet=0, vertexSet=0, v0=1, v1=12, v2=0}
21:21:31: Triangle 11 = {indexSet=0, vertexSet=0, v0=8, v1=13, v2=6}
21:21:31: Triangle 12 = {indexSet=0, vertexSet=0, v0=15, v1=5, v2=4}
21:21:31: Triangle 13 = {indexSet=0, vertexSet=0, v0=5, v1=15, v2=16}
21:21:31: Triangle 14 = {indexSet=0, vertexSet=0, v0=17, v1=8, v2=7}
21:21:31: Triangle 15 = {indexSet=0, vertexSet=0, v0=8, v1=17, v2=18}
21:21:31: Triangle 16 = {indexSet=0, vertexSet=0, v0=2, v1=1, v2=0}
21:21:31: Triangle 17 = {indexSet=0, vertexSet=0, v0=19, v1=7, v2=10}
21:21:31: Triangle 18 = {indexSet=0, vertexSet=0, v0=7, v1=19, v2=17}
21:21:31: Triangle 19 = {indexSet=0, vertexSet=0, v0=2, v1=11, v2=1}
21:21:31: Triangle 20 = {indexSet=0, vertexSet=0, v0=11, v1=2, v2=20}
21:21:31: Triangle 21 = {indexSet=0, vertexSet=0, v0=18, v1=4, v2=8}
21:21:31: Triangle 22 = {indexSet=0, vertexSet=0, v0=4, v1=18, v2=15}
21:21:31: Triangle 23 = {indexSet=0, vertexSet=0, v0=2, v1=0, v2=1}
21:21:31: Triangle 24 = {indexSet=0, vertexSet=0, v0=21, v1=18, v2=17}
21:21:31: Triangle 25 = {indexSet=0, vertexSet=0, v0=18, v1=21, v2=22}
21:21:31: Triangle 26 = {indexSet=0, vertexSet=0, v0=23, v1=17, v2=19}
