[11/13/2017@09:37:54]  Initialized Successfully!
[11/13/2017@09:38:05]  KEY PRESS: 100
[11/13/2017@09:38:18]  KEY PRESS: 99
[11/13/2017@09:38:20]  KEY PRESS: 108
[11/13/2017@09:38:22]  KEY PRESS: 99
[11/13/2017@09:38:22]  KEY PRESS: 108
[11/13/2017@09:38:22]  KEY PRESS: 99
[11/13/2017@09:38:24]  KEY PRESS: 108
[11/13/2017@09:38:25]  KEY PRESS: 99
[11/13/2017@09:38:25]  KEY PRESS: 108
[11/13/2017@09:38:26]  KEY PRESS: 99
[11/13/2017@09:38:26]  KEY PRESS: 108
[11/13/2017@09:38:26]  KEY PRESS: 99
[11/13/2017@09:38:26]  KEY PRESS: 108
[11/13/2017@09:38:27]  KEY PRESS: 99
[11/13/2017@09:38:27]  KEY PRESS: 108
[11/13/2017@09:38:27]  KEY PRESS: 108
[11/13/2017@09:38:27]  KEY PRESS: 108
[11/13/2017@09:38:28]  KEY PRESS: 108
[11/13/2017@09:38:28]  KEY PRESS: 99
[11/13/2017@09:38:28]  KEY PRESS: 99
[11/13/2017@09:38:28]  KEY PRESS: 99
[11/13/2017@09:38:28]  KEY PRESS: 99
[11/13/2017@09:38:29]  KEY PRESS: 99
[11/13/2017@09:38:29]  KEY PRESS: 108
[11/13/2017@09:38:29]  KEY PRESS: 108
[11/13/2017@09:38:29]  KEY PRESS: 108
[11/13/2017@09:38:30]  KEY PRESS: 99
[11/13/2017@09:38:32]  KEY PRESS: 108
[11/13/2017@09:38:35]  KEY PRESS: 99
[11/13/2017@09:38:36]  KEY PRESS: 108
